"database_identifier"	"chemical_formula"	"inchi"	"smiles"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Bur-C-1"	"Bur-C-2"	"Bur-C-3"	"Can-C-1"	"Can-C-2"	"Can-C-3"	"Col-C-1"	"Col-C-2"	"Col-C-3"	"Ct-C-1"	"Ct-C-2"	"Ct-C-3"	"Edi-C-1"	"Edi-C-2"	"Edi-C-3"	"Hi-C-1"	"Hi-C-2"	"Hi-C-3"	"Kn-C-1"	"Kn-C-2"	"Kn-C-3"	"Ler-C-1"	"Ler-C-2"	"Ler-C-3"	"Mt-C-1"	"Mt-C-2"	"Mt-C-3"	"No-C-1"	"No-C-2"	"No-C-3"	"Oy-C-1"	"Oy-C-2"	"Oy-C-3"	"Po-C-1"	"Po-C-2"	"Po-C-3"	"Rsch-C-1"	"Rsch-C-2"	"Rsch-C-3"	"Sf-C-1"	"Sf-C-2"	"Sf-C-3"	"Tsu-C-1"	"Tsu-C-2"	"Tsu-C-3"	"Wil-C-1"	"Wil-C-2"	"Will-C-3"	"Ws-C-1"	"Ws-C-2"	"Ws-C-3"	"Wu-C-1"	"Wu-C-2"	"Wu-C-3"	"Zu-C-1"	"Zu-C-2"	"Zu-C-3"
"CHEBI:16335"	"C10H13N5O4"	"InChI=1/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"	"C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N"	"Adenosine"	"268.10"	""	""	" 42"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"107466.5313"	" 26775.5430"	" 19210.27681"	" 26585.5681"	"3.309376e+04"	"  7019.6718"	" 238654.2570"	" 169146.978"	"110926.98810"	" 48040.1995"	" 15837.1523"	" 49964.9294"	" 29728.4695"	" 17446.0951"	" 11115.8839"	"  84146.5345"	"  32154.247"	"  4294.42004"	" 153557.4902"	" 34528.0005"	" 46795.3666"	" 166700.847"	"  84528.1846"	" 58406.25463"	" 303281.928"	" 291151.0986"	" 193617.664"	"184271.0770"	" 35934.9638"	"119200.8237"	"  91720.2649"	"16981.5173"	"  7171.1210"	" 99450.8879"	" 75227.7114"	"103637.4347"	" 168787.8615"	"  60571.738"	" 204673.3678"	" 13430.7716"	" 53392.7591"	" 12070.2518"	" 143428.079"	" 156259.312"	" 92614.221"	" 180496.8523"	"3.139658e+04"	" 124427.9683"	" 123492.9883"	"  23672.4521"	" 14511.3079"	"152217.813"	"  52077.3558"	"  46387.8841"	" 19840.82462"	"  30469.1586"	" 12754.7335"
"CHEBI:16750"	"C10H13N5O5"	"InChI=1/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1"	"C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N"	"Guanosine"	"282.08"	""	""	" 66"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	" 23695.3967"	"  9857.7324"	"  4938.57154"	"     0.0000"	"0.000000e+00"	"     0.0000"	"  33639.0559"	"  15054.667"	"  9593.97524"	" 22749.3433"	"     0.0000"	"     0.0000"	" 17288.3270"	"  6111.4722"	"     0.0000"	"      0.0000"	"   4469.258"	"     0.00000"	"  11394.0000"	" 21004.8379"	"     0.0000"	"  21146.985"	"  30008.0601"	"     0.00000"	"  15828.252"	"  12588.9647"	"  11406.309"	" 21970.1762"	" 21195.5092"	"     0.0000"	"  13227.1624"	"10198.3105"	"     0.0000"	" 13039.5432"	"  5405.0227"	"  8555.3535"	"  23084.9191"	"   6607.919"	"  17294.2283"	"     0.0000"	"     0.0000"	"     0.0000"	"   8745.546"	"  14929.602"	"  5443.222"	"  58067.6513"	"2.684844e+04"	"   7378.1189"	"  14976.1473"	"  21888.1119"	"     0.0000"	" 19534.994"	"   6729.6522"	"      0.0000"	"     0.00000"	"   5555.2271"	"     0.0000"
"CHEBI:16704"	"C9H12N2O6"	"InChI=1/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1"	"C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O"	"Uridine"	"243.06"	""	""	" 60"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	" 40716.3392"	" 14197.6814"	"     0.00000"	" 23332.8144"	"2.093256e+04"	" 25687.6249"	" 188323.0757"	"  36467.682"	" 92132.82820"	" 23150.4083"	"  8152.8372"	" 11835.1783"	" 18799.6223"	" 15660.8589"	"  9286.1267"	"  16906.7656"	"  79897.275"	"     0.00000"	"  23709.7783"	" 17151.8927"	" 11313.1144"	"  47565.093"	"  37656.8630"	" 12976.83248"	"  58108.911"	"  46924.8890"	"  63434.322"	" 78187.6774"	" 25115.5376"	" 24069.5061"	"  39579.0496"	"11318.4282"	"     0.0000"	" 29567.4854"	" 19997.6303"	" 52863.8950"	"  80328.7763"	"  19437.134"	"  75647.5299"	" 12869.5453"	" 24504.9273"	"  8648.2844"	"  45449.321"	"  52909.280"	" 28679.594"	" 103270.8595"	"5.924511e+04"	"  39895.5587"	"  54438.2522"	"  19101.9277"	"  8254.7353"	" 97204.702"	"  41075.5326"	"  41111.8692"	" 15263.96178"	"  55067.7049"	"  6701.2176"
"636"	"C10H13N5O3"	"InChI=1/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)"	"C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O"	"2?-Deoxyadenosine"	"252.11"	""	""	" 48"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"PubChem"	""	""	""	""	""	""	""	""	""	"  5250.0552"	"  5869.4263"	"     0.00000"	"     0.0000"	"5.190495e+03"	"     0.0000"	"  12799.9348"	"   7376.618"	"     0.00000"	"  6144.4401"	"  2726.7068"	"     0.0000"	"  7926.4688"	"     0.0000"	"     0.0000"	"      0.0000"	"   5459.372"	"     0.00000"	"  29918.8927"	"  4995.4076"	"     0.0000"	"  11594.071"	"  11809.7975"	"     0.00000"	"   8380.062"	"  15977.1237"	"      0.000"	"  7400.8709"	"  7259.6538"	"     0.0000"	"   7223.1559"	"    0.0000"	"     0.0000"	"     0.0000"	"  6806.8820"	"     0.0000"	"  11959.6227"	"   5843.631"	"   2128.6882"	"     0.0000"	"     0.0000"	"     0.0000"	"   3621.566"	"   7622.366"	"     0.000"	"  11905.8431"	"0.000000e+00"	"      0.0000"	"   4509.6820"	"      0.0000"	"     0.0000"	" 10156.943"	"   4396.4876"	"      0.0000"	"     0.00000"	"   3352.9098"	"     0.0000"
"CHEBI:17748"	"C10H14N2O5"	"InChI=1/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1"	"CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O"	"Thymidine"	"241.08"	""	""	" 96"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	" 82550.9296"	"141696.4188"	" 14523.91325"	" 38054.9928"	"1.328843e+05"	" 28760.8133"	" 154556.1798"	"  61432.807"	" 44991.71635"	" 76645.8517"	" 33050.1608"	" 34551.6957"	"146235.7289"	"122110.3503"	" 74841.9755"	"  45627.1672"	"  70241.896"	" 20848.51614"	"  78649.2462"	" 93831.5404"	" 33017.2604"	" 123552.051"	"  48322.4293"	" 30848.36696"	"  67157.202"	"  80777.4542"	"  43883.849"	"100753.5276"	" 58586.1920"	" 29215.7976"	"  48878.6857"	"23857.4867"	"     0.0000"	" 50635.1641"	" 34855.4583"	" 36001.5336"	"  74551.9200"	"  83108.208"	" 106207.6546"	" 52690.4611"	" 53673.4735"	" 25445.5399"	"  54878.671"	"  74666.770"	" 68837.674"	"  94649.1804"	"8.694943e+04"	"  51030.3174"	"  83590.2493"	"  71429.9098"	" 69706.3975"	" 82990.869"	"  68840.0188"	"  59441.0554"	" 54524.92999"	"  66780.9465"	" 21611.6774"
"102213"	""	""	""	"2?-O-Methyladenosine"	"282.12"	""	""	" 66"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"PubChem"	""	""	""	""	""	""	""	""	""	" 14243.8276"	"  7052.2043"	"     0.00000"	" 12718.2071"	"9.902458e+03"	"  4835.1803"	"  29995.7447"	"  17454.977"	" 18896.76715"	"  8616.9882"	"     0.0000"	"  8552.1061"	"  8968.5450"	"  3716.9036"	"     0.0000"	"  11540.6751"	"  14768.622"	"  5877.51112"	"  35856.2742"	" 10834.5188"	" 12205.7374"	"  18979.191"	"  23618.3357"	" 13221.89657"	"  30665.132"	"  30967.3923"	"  16887.818"	" 20346.1032"	" 14594.7636"	" 12174.8692"	"  20857.8254"	" 3700.2577"	"     0.0000"	" 10826.3142"	" 13940.8192"	" 22221.9625"	"  28964.5399"	"  13936.601"	"  21367.4973"	"     0.0000"	" 12725.5078"	"     0.0000"	"  24442.487"	"  23579.453"	" 11849.829"	"  32260.7083"	"1.412781e+04"	"  16922.7167"	"  16469.8132"	"  11609.2665"	"  4341.3576"	" 38451.644"	"  16688.1343"	"  23301.1974"	"  7299.60316"	"  14920.1554"	"     0.0000"
"CHEBI:17295"	"C9H11NO2"	"InChI=1/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1"	"C1=CC=C(C=C1)C[C@@H](C(=O)O)N"	"Phe"	"120.08"	""	""	" 78"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	" 82203.3183"	"  9973.7671"	" 15072.16312"	" 36018.4118"	"2.298254e+04"	" 10050.9919"	" 184411.6834"	" 130428.615"	"118179.26060"	" 31690.8136"	" 29248.7313"	" 49095.9023"	" 24786.4784"	" 17926.1570"	" 12816.6554"	"  68192.1019"	"  81318.325"	" 59907.84600"	" 179423.0083"	" 33459.2397"	" 51515.5763"	" 126866.797"	"  62152.9902"	" 50698.26685"	" 489937.212"	" 104906.6100"	" 161371.810"	"371750.2313"	" 34365.4600"	"138047.7169"	"  93329.9531"	"16668.7147"	" 22707.6563"	" 98380.6953"	" 69424.1473"	"123761.3020"	" 170963.5744"	"  34186.312"	"  76697.1691"	" 14031.3806"	" 62711.1483"	"142051.5741"	" 142761.352"	" 116917.883"	" 71490.668"	" 227272.3309"	"5.027772e+04"	"  73711.3390"	" 157225.8220"	"  21432.6159"	" 14459.4062"	"378143.121"	"  68063.8081"	"  68944.3225"	" 26319.75701"	"  31102.9371"	" 26039.0885"
"CHEBI:17895"	"C9H11NO3"	"InChI=1/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1"	"C1=CC(=CC=C1C[C@@H](C(=O)O)N)O"	"Tyr"	"182.08"	""	""	" 42"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"  6417.1315"	"     0.0000"	"     0.00000"	"     0.0000"	"3.211577e+03"	"     0.0000"	"  12008.2620"	"   6111.473"	"  8183.64717"	"     0.0000"	"     0.0000"	"  3530.7438"	"     0.0000"	"     0.0000"	"     0.0000"	"   6007.6183"	"   4929.797"	"     0.00000"	"   6572.3429"	"     0.0000"	"  3001.9323"	"  11465.895"	"   6164.8323"	"  3064.11528"	"  15883.344"	"   7431.7978"	"  10303.522"	" 12781.1462"	"     0.0000"	"  4672.8953"	"   6649.9162"	"    0.0000"	"     0.0000"	"  6470.1477"	"     0.0000"	"  6712.9106"	"  14919.5197"	"   3088.104"	"   4993.4151"	"     0.0000"	"  4959.9392"	"     0.0000"	"  12177.274"	"   8480.033"	"  6099.076"	"  15675.3287"	"0.000000e+00"	"   6498.0242"	"  11148.5727"	"      0.0000"	"     0.0000"	" 17604.571"	"   3886.8589"	"   5504.8522"	"  2675.73231"	"      0.0000"	"     0.0000"
"CHEBI:27897"	"C11H12N2O2"	"InChI=1/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)"	"C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N"	"Trp"	"188.07"	""	""	"144"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	" 98942.1959"	" 12470.2013"	"     0.00000"	" 42453.2069"	"2.587386e+04"	"  2627.1228"	" 138408.7525"	"  75924.405"	" 10816.40866"	" 31149.9154"	" 22586.8770"	"  8377.8702"	" 51367.3076"	" 12263.9374"	"  5127.9527"	"  15976.1564"	"  20384.343"	" 22046.25355"	"  81427.1010"	" 22672.2107"	" 11774.5423"	" 166205.443"	" 307378.4488"	" 11286.84987"	" 445621.084"	"  64775.9341"	"  85574.461"	"237034.7639"	" 68518.0487"	"     0.0000"	" 119784.2646"	" 9005.6553"	" 15719.3546"	" 66421.6900"	" 42526.5380"	" 41764.3586"	" 441467.3518"	"  40996.858"	"  32649.9860"	"  5949.8566"	" 30027.6614"	"  6167.4910"	" 250687.019"	" 105212.493"	" 48491.779"	" 332272.9925"	"6.230662e+04"	"  17920.3464"	"  89483.0477"	"  30680.9529"	"  5599.4054"	"408442.084"	"  56340.2568"	"  23669.4286"	" 24408.35054"	"  44774.4650"	"  6891.9108"
""	"C12H12N2O2"	"InChI=1S/C12H12N2O2/c15-12(16)10-5-8-7-3-1-2-4-9(7)14-11(8)6-13-10/h1-4,10,13-14H,5-6H2,(H,15,16)/t10-/m0/s1"	"c1ccc2c(c1)c3c([nH]2)CN[C@@H](C3)C(=O)O"	"3-Carboxy-1,2,3,4-tetrahydro-2-carboline"	"144.08"	""	""	"186"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	" 21212.9262"	"  6950.2452"	"     0.00000"	" 12892.4666"	"1.411834e+04"	"     0.0000"	"  85318.1187"	"  38424.726"	"     0.00000"	" 15335.5349"	" 10483.7529"	"     0.0000"	" 21080.4974"	"  8412.0977"	"     0.0000"	"  37574.8853"	"  16623.985"	"  3020.72545"	" 182238.3980"	" 15206.1094"	"  4966.5062"	"  77048.103"	"  78188.9172"	"  4334.23687"	" 284861.232"	" 133917.2624"	"   3819.821"	" 80803.0072"	" 53655.7973"	"     0.0000"	"  36944.4538"	" 8835.1360"	"  3373.3272"	" 38332.1838"	" 41803.5699"	"  4639.7927"	" 103928.6531"	"  46334.014"	"   4592.4194"	"     0.0000"	" 32567.9786"	"     0.0000"	"  56967.044"	"  83481.482"	" 10262.136"	"  71055.4090"	"4.183025e+04"	"   7163.6000"	"  56211.4917"	"  25212.9594"	"     0.0000"	" 28559.202"	"  29654.2424"	"   9105.2526"	" 19526.44696"	"  24008.3942"	"     0.0000"
